service_id,Group_store,Item,Price,URL_Image,Category
3856987200481659347,3T COFFEE,Ca Phe Den,29000,https://product.hstatic.net/1000075078/product/vnese_coffee_master.jpg,Coffee
3856987200481659347,3T COFFEE,Cappucino,45000,https://product.hstatic.net/1000075078/product/cappuccino_master.jpg,Coffee
3856987200481659347,3T COFFEE,Caramel Macchiato,55000,https://product.hstatic.net/1000075078/product/caramel_macchiato_b6f694f469794e12b04a91845f5fce2d_master.jpg,Coffee
3856987200481659347,3T COFFEE,Cherry Macchiato,55000,https://product.hstatic.net/1000075078/product/cherry_mac_6a3403fdb832464da88de8c6e6ddf662_master.jpg,Machiato
3856987200481659347,3T COFFEE,Cold Brew Milk Macchiato,50000,https://product.hstatic.net/1000075078/product/coldbrewmacchiato_af7dc44ed71b4856bfe48a756ed939e6_master.jpg,Cold Brew
3856987200481659347,3T COFFEE,Cold Brew Phuc Bon Tu,50000,https://product.hstatic.net/1000075078/product/coldbrew_raspberry_ac577fc483484f0cb4e35efe6bf14426_master.png,Cold Brew
3856987200481659347,3T COFFEE,Latte Matcha,59000,https://product.hstatic.net/1000075078/product/matcha_latte_master.jpg,Coffee
3856987200481659347,3T COFFEE,Lemon Macchiato,55000,https://product.hstatic.net/1000075078/product/xoai_mac_c4534cc7607f4d58addf470a162e8359_master.jpg,Machiato
3856987200481659347,3T COFFEE,Phuc Bon Tu Cam Da Xay,59000,https://product.hstatic.net/1000075078/product/daxay_raspberry_01685c63649740678352a348f8b281a1_master.png,Smoothie
3856987200481659347,3T COFFEE,Tra Dao Cam Sa,45000,https://product.hstatic.net/1000075078/product/tra_dao_cam_sa_on_bg_master.jpg,Tea
7508698289722542420,ALTO COFFEE,Hồng Trà Royal Kem Cheese,47000,http://royaltea.com.vn/wp-content/uploads/2017/05/20-600x450.jpg,Tea
7508698289722542420,ALTO COFFEE,Trà Đen Chanh Leo Nước Ổi,43000,http://royaltea.com.vn/wp-content/uploads/2017/05/8-600x450.jpg,Tea
7508698289722542420,ALTO COFFEE,Trà Earl Grey Kem Cheese,47000,http://royaltea.com.vn/wp-content/uploads/2017/05/18-600x450.jpg,Tea
7508698289722542420,ALTO COFFEE,Trà Ô Long Royal Kem Cheese,53000,http://royaltea.com.vn/wp-content/uploads/2017/04/jj-600x450.jpg,Tea
7508698289722542420,ALTO COFFEE,Trà Sữa Double Oreo,43000,http://royaltea.com.vn/wp-content/uploads/2017/05/41-600x450.jpg,Milk Tea
7508698289722542420,ALTO COFFEE,Trà Sữa Kem Cheese,45000,http://royaltea.com.vn/wp-content/uploads/2017/05/13-600x450.jpg,Milk Tea
7508698289722542420,ALTO COFFEE,Trà Sữa Khoai Môn Tươi,48000,http://royaltea.com.vn/wp-content/uploads/2017/12/ts-khoai-m%C3%B4n-1-600x600.jpg,Milk Tea
7508698289722542420,ALTO COFFEE,Trà Sữa Trân Châu Cake Cream,53000,http://royaltea.com.vn/wp-content/uploads/2017/05/30-600x450.jpg,Milk Tea
7508698289722542420,ALTO COFFEE,Trà Xanh Chanh Leo Kim Quất Mật Ong,43000,http://royaltea.com.vn/wp-content/uploads/2017/05/Post-2-600x600.gif,Tea
7508698289722542420,ALTO COFFEE,Trà Xanh Kiwi Newzealand,53000,http://royaltea.com.vn/wp-content/uploads/2018/07/kiwi1.jpg,Tea
1541760682999376676,Apsara Cafe,Cacao SOCOLA,45000,http://product.hstatic.net/1000360860/product/socola_911914e9f6674e39ab583a3024e0cd8c_master.jpg,Cacao
1541760682999376676,Apsara Cafe,Dâu tằm kem phô mai,48000,http://product.hstatic.net/1000360860/product/dautamkpm_9ed711a06bbe445caaa539c10c8521a8_master.jpg,Other
1541760682999376676,Apsara Cafe,HỒNG TRÀ KEM PHOMAI,45000,http://product.hstatic.net/1000360860/product/hongtrakpm_37b2bf93523342a08b2184bb71a7fc78_master.jpg,Tea
1541760682999376676,Apsara Cafe,SỮA TƯƠI CHÂN TRÂU ĐƯỜNG HỔ,48000,http://product.hstatic.net/1000360860/product/duongho_39b347d233284894acb95ae7f99a0af3_master.jpg,Milk Tea
1541760682999376676,Apsara Cafe,TRÀ NHẬT ĐẬU ĐỎ,49000,http://product.hstatic.net/1000360860/product/tsnhat_4c62a0a891b94700bedeeeeb5f6b8ab6_master.png,Tea
1541760682999376676,Apsara Cafe,TRÀ SỮA BẠC HÀ,40000,http://product.hstatic.net/1000360860/product/bacha_0977b3c4fef04f8d8e909ce579fb1c12_master.jpg,Milk Tea
1541760682999376676,Apsara Cafe,TRÀ SỮA PANDA,46000,http://product.hstatic.net/1000360860/product/panda_6dbae72a6f8e40deb8af33ecad39e515_master.jpg,Milk Tea
1541760682999376676,Apsara Cafe,Yakult Chanh Leo,42000,http://product.hstatic.net/1000360860/product/yakult-cday_ff8300d49a714625aa63d1125d50ab0d_master.png,Yogurt
1541760682999376676,Apsara Cafe,Yakult Trà Xanh,42000,http://product.hstatic.net/1000360860/product/yakult-tx_5e6fbdf13dab48f2b5c34fa9fcf6b034_master.png,Yogurt
1541760682999376676,Apsara Cafe,Yakult Xoài,42000,http://product.hstatic.net/1000360860/product/yakult-xoai_1277bdb10d6e4c0db0c89645147a3ade_master.png,Yogurt
6835189764919746072,B59 COFFEE,Hồng Trà Royal Kem Cheese,47000,http://royaltea.com.vn/wp-content/uploads/2017/05/20-600x450.jpg,Tea
6835189764919746072,B59 COFFEE,Trà Đen Chanh Leo Nước Ổi,43000,http://royaltea.com.vn/wp-content/uploads/2017/05/8-600x450.jpg,Tea
6835189764919746072,B59 COFFEE,Trà Earl Grey Kem Cheese,47000,http://royaltea.com.vn/wp-content/uploads/2017/05/18-600x450.jpg,Tea
6835189764919746072,B59 COFFEE,Trà Ô Long Royal Kem Cheese,53000,http://royaltea.com.vn/wp-content/uploads/2017/04/jj-600x450.jpg,Tea
6835189764919746072,B59 COFFEE,Trà Sữa Double Oreo,43000,http://royaltea.com.vn/wp-content/uploads/2017/05/41-600x450.jpg,Milk Tea
6835189764919746072,B59 COFFEE,Trà Sữa Kem Cheese,45000,http://royaltea.com.vn/wp-content/uploads/2017/05/13-600x450.jpg,Milk Tea
6835189764919746072,B59 COFFEE,Trà Sữa Khoai Môn Tươi,48000,http://royaltea.com.vn/wp-content/uploads/2017/12/ts-khoai-m%C3%B4n-1-600x600.jpg,Milk Tea
6835189764919746072,B59 COFFEE,Trà Sữa Trân Châu Cake Cream,53000,http://royaltea.com.vn/wp-content/uploads/2017/05/30-600x450.jpg,Milk Tea
6835189764919746072,B59 COFFEE,Trà Xanh Chanh Leo Kim Quất Mật Ong,43000,http://royaltea.com.vn/wp-content/uploads/2017/05/Post-2-600x600.gif,Tea
6835189764919746072,B59 COFFEE,Trà Xanh Kiwi Newzealand,53000,http://royaltea.com.vn/wp-content/uploads/2018/07/kiwi1.jpg,Tea
4761131599689251118,BA LÁ TRÀ,Cacao SOCOLA,45000,http://product.hstatic.net/1000360860/product/socola_911914e9f6674e39ab583a3024e0cd8c_master.jpg,Cacao
4761131599689251118,BA LÁ TRÀ,Dâu tằm kem phô mai,48000,http://product.hstatic.net/1000360860/product/dautamkpm_9ed711a06bbe445caaa539c10c8521a8_master.jpg,Other
4761131599689251118,BA LÁ TRÀ,HỒNG TRÀ KEM PHOMAI,45000,http://product.hstatic.net/1000360860/product/hongtrakpm_37b2bf93523342a08b2184bb71a7fc78_master.jpg,Tea
4761131599689251118,BA LÁ TRÀ,SỮA TƯƠI CHÂN TRÂU ĐƯỜNG HỔ,48000,http://product.hstatic.net/1000360860/product/duongho_39b347d233284894acb95ae7f99a0af3_master.jpg,Milk Tea
4761131599689251118,BA LÁ TRÀ,TRÀ NHẬT ĐẬU ĐỎ,49000,http://product.hstatic.net/1000360860/product/tsnhat_4c62a0a891b94700bedeeeeb5f6b8ab6_master.png,Tea
4761131599689251118,BA LÁ TRÀ,TRÀ SỮA BẠC HÀ,40000,http://product.hstatic.net/1000360860/product/bacha_0977b3c4fef04f8d8e909ce579fb1c12_master.jpg,Milk Tea
4761131599689251118,BA LÁ TRÀ,TRÀ SỮA PANDA,46000,http://product.hstatic.net/1000360860/product/panda_6dbae72a6f8e40deb8af33ecad39e515_master.jpg,Milk Tea
4761131599689251118,BA LÁ TRÀ,Yakult Chanh Leo,42000,http://product.hstatic.net/1000360860/product/yakult-cday_ff8300d49a714625aa63d1125d50ab0d_master.png,Yogurt
4761131599689251118,BA LÁ TRÀ,Yakult Trà Xanh,42000,http://product.hstatic.net/1000360860/product/yakult-tx_5e6fbdf13dab48f2b5c34fa9fcf6b034_master.png,Yogurt
4761131599689251118,BA LÁ TRÀ,Yakult Xoài,42000,http://product.hstatic.net/1000360860/product/yakult-xoai_1277bdb10d6e4c0db0c89645147a3ade_master.png,Yogurt
5453033308428757696,BIDI COFFEE,Hồng Trà Royal Kem Cheese,47000,http://royaltea.com.vn/wp-content/uploads/2017/05/20-600x450.jpg,Tea
